Symbol	Name	Currency	Exchange	Instrument.Long.Name	Isin	Segment.code	Sector.code
ALU	ALUMASC GROUP PLC	GBX	LSE	ORD 12.5P	GB0000280353	SSQ3	SQQ3
AYM	ANGLESEY MINING PLC	GBX	LSE	ORD 1P	GB0000320472	SSQ3	SQQ3
PEQ	PRIVATE EQUITY INVESTOR PLC	GBX	LSE	ORD 0.01P	GB0000504034	SSQ3	SQQ3
ATY	ATHELNEY TRUST PLC	GBX	LSE	ORD 25P	GB0000609296	SSQ3	SQQ3
ARR	AURORA INV TST PLC	GBX	LSE	ORD 25P	GB0000633262	SSQ3	SQQ3
BAF	BRITISH & AMERICAN INV TST PLC	GBX	LSE	ORD SHS #1	GB0000653112	SSQ3	SQQ3
SVM	SVM UK EMERGING FUND PLC	GBX	LSE	ORD 5P	GB0000684174	SSQ3	SQQ3
BDV	BARONSMEAD VCT PLC	GBX	LSE	ORD 10P	GB0000803584	SSQ3	SQQ3
TLI	ALTERNATIVE ASSET OPPS PCC LD	GBX	LSE	RED PTG PRF SHS NPV US TRADED LIFE INT	GB0034353424	SSQ3	SQQ3
EDGE	EDGE PERFORMANCE VCT PLC	GBX	LSE	E SHS 10P	GB00B00DDX23	SSQ3	SQQ3
OEC1	OCTOPUS ECLIPSE VCT PLC	GBX	LSE	ORD 10P	GB00B00MKB60	SSQ3	SQQ3
PJF	PROSPECT JAPAN FUND LTD	USD	LSE	ORD US$0.001	GB00B011QL44	SSQ3	SQQ3
PUMX	PUMA VCT 10 PLC	GBX	LSE	ORD GBP0.0005	GB00BFG3QX28	SSQ3	SQQ3
IIT	INDEPENDENT INV TST PLC	GBX	LSE	ORD 25P	GB0000811686	SSQ3	SQQ3
BSV	BRITISH SMALLER COMPANIES VCT PLC	GBX	LSE	ORD 10P	GB0001403152	SSQ3	SQQ3
CFYN	CAFFYNS PLC	GBX	LSE	ORD 50P	GB0001615219	SSQ3	SQQ3
MIX	MOBEUS INCOME & GROWTH VCT PLC	GBX	LSE	ORD 1P	GB00B01WL239	SSQ3	SQQ3
HHV	HARGREAVE HALE AIM VCT 1 PLC	GBX	LSE	ORD 1P	GB00B02WHS05	SSQ3	SQQ3
AAM	ARTEMIS VCT PLC	GBX	LSE	ORD 10P	GB00B02WQ947	SSQ3	SQQ3
DDV1	DOWNING ONE VCT PLC	GBX	LSE	ORD 1P	GB00BFRSVQ41	SSQ3	SQQ3
DP3H	DOWNING THREE VCT PLC	GBX	LSE	H SHS 0.1P	GB00BH7Y7B35	SSQ3	SQQ3
CDFF	CARDIFF PROPERTY PLC	GBX	LSE	ORD 20P	GB0001754257	SSQ3	SQQ3
AAVC	ALBION VENTURE CAPITAL TST PLC	GBX	LSE	ORD 1P	GB0002039625	SSQ3	SQQ3
MIG5	MAVEN INCOME & GROWTH VCT 5 PLC	GBX	LSE	ORD 10P	GB0002057536	SSQ3	SQQ3
VEN	VENTUS VCT PLC	GBX	LSE	ORD 25P	GB00B03KMY45	SSQ3	SQQ3
MAV4	MAVEN INCOME & GROWTH VCT 4 PLC	GBX	LSE	ORD 10P	GB00B043QW84	SSQ3	SQQ3
ATI	AMATI VCT PLC	GBX	LSE	ORD 10P	GB00B05N8X20	SSQ3	SQQ3
IPE	INVESCO PERPETUAL ENHANCED IN LD	GBX	LSE	ORD 5P	GB00B05NYM32	SSQ3	SQQ3
TET	TREATT PLC	GBX	LSE	ORD 2P	GB00BKS7YK08	SSQ3	SQQ3
RGP	ROSS GROUP PLC	GBX	LSE	ORD 0.1P	GB0002192606	SSQ3	SQQ3
CRL	CREIGHTONS PLC	GBX	LSE	ORD 1P	GB0002341666	SSQ3	SQQ3
DRS	DRS DATA & RESEARCH SERVICES PLC	GBX	LSE	ORD 5P	GB0002502580	SSQ3	SQQ3
CRWN	CROWN PLACE VCT PLC	GBX	LSE	ORD 10P	GB0002577434	SSQ3	SQQ3
CGW	CHELVERTON GROWTH TRUST PLC	GBX	LSE	ORD 1P	GB0002621349	SSQ3	SQQ3
NSI	NEW STAR INVESTMENT TRUST PLC	GBX	LSE	ORD 1P	GB0002631041	SSQ3	SQQ3
BVT	BARONSMEAD VCT 2 PLC	GBX	LSE	ORD 10P	GB0002631934	SSQ3	SQQ3
NCA	NEW CENTURY AIM VCT PLC	GBX	LSE	ORD 10P	GB00B06JWZ91	SSQ3	SQQ3
JPEL	J.P. MORGAN PRIVATE EQUITY LD	USD	LSE	USD EQTY SHS NPV	GB00B07V0H27	SSQ3	SQQ3
FTF	FORESIGHT 4 VCT PLC	GBX	LSE	ORD 1P	GB00B07YBS95	SSQ3	SQQ3
NRI	NORTHERN INVESTORS CO PLC	GBX	LSE	ORD 25P	GB00B08S4K30	SSQ3	SQQ3
EDV	ELDERSTREET VCT PLC	GBX	LSE	ORD 5P	GB0002867140	SSQ3	SQQ3
LFI	LONDON FINANCE AND INVEST. GRP PLC	GBX	LSE	5P	GB0002994001	SSQ3	SQQ3
EDP	ELECTRONIC DATA PROCESSING PLC	GBX	LSE	ORD 5P	GB0003101523	SSQ3	SQQ3
OXH	OXFORD TECHNOLOGY 2 VCT PLC	GBX	LSE	ORD 10P	GB0003105052	SSQ3	SQQ3
PTF	PHAUNOS TIMBER FUND LD	USD	LSE	ORD NPV	GG00B1G3RS66	SSQ3	SQQ3
