Index	Symbol	Name
^GSPC	LNC	Lincoln National
^GSPC	LLTC	Linear Technology Corp.
^GSPC	LKQ	LKQ Corporation
^GSPC	LMT	Lockheed Martin Corp.
^GSPC	L	Loews Corp.
^GSPC	LOW	Lowe's Cos.
^GSPC	LYB	LyondellBasell
^GSPC	MTB	M&T Bank Corp.
^GSPC	MAC	Macerich
^GSPC	M	Macy's Inc.
^GSPC	MNK	Mallinckrodt Plc
^GSPC	MRO	Marathon Oil Corp.
^GSPC	MPC	Marathon Petroleum
^GSPC	MAR	Marriott Int'l.
^GSPC	MMC	Marsh & McLennan
^GSPC	MLM	Martin Marietta Materials
^GSPC	MAS	Masco Corp.
^GSPC	MA	Mastercard Inc.
^GSPC	MAT	Mattel Inc.
^GSPC	MKC	McCormick & Co.
^GSPC	MCD	McDonald's Corp.
^GSPC	MCK	McKesson Corp.
^GSPC	MJN	Mead Johnson
^GSPC	MDT	Medtronic plc
^GSPC	MRK	Merck & Co.
^GSPC	MET	MetLife Inc.
^GSPC	MTD	Mettler Toledo
^GSPC	KORS	Michael Kors Holdings
^GSPC	MCHP	Microchip Technology
^GSPC	MU	Micron Technology
^GSPC	MSFT	Microsoft Corp.
^GSPC	MAA	Mid-America Apartments
^GSPC	MHK	Mohawk Industries
^GSPC	TAP	Molson Coors Brewing Company
^GSPC	MDLZ	Mondelez International
^GSPC	MON	Monsanto Co.
^GSPC	MNST	Monster Beverage
^GSPC	MCO	Moody's Corp
^GSPC	MS	Morgan Stanley
^GSPC	MOS	The Mosaic Company
^GSPC	MSI	Motorola Solutions Inc.
^GSPC	MUR	Murphy Oil
^GSPC	MYL	Mylan N.V.
^GSPC	NDAQ	NASDAQ OMX Group
^GSPC	NOV	National Oilwell Varco Inc.
^GSPC	NAVI	Navient
^GSPC	NTAP	NetApp
^GSPC	NFLX	Netflix Inc.
^GSPC	NWL	Newell Brands
^GSPC	NFX	Newfield Exploration Co
^GSPC	NEM	Newmont Mining Corp. (Hldg. Co.)
^GSPC	NWSA	News Corp. Class A
^GSPC	NWS	News Corp. Class B
^GSPC	NEE	NextEra Energy
^GSPC	NLSN	Nielsen Holdings
^GSPC	NKE	Nike
^GSPC	NI	NiSource Inc.
