Symbol	Description
BHPKOZ	Bhp Billiton Limited
BHPLOB	Bhp Billiton Limited
BHPLOD	Bhp Billiton Limited
BHPLOP	Bhp Billiton Limited
BHPLOQ	Bhp Billiton Limited
BHPLOR	Bhp Billiton Limited
BHPLOS	Bhp Billiton Limited
BHPLOT	Bhp Billiton Limited
BHPLOZ	Bhp Billiton Limited
BHPQOA	Bhp Billiton Limited
BHPQOB	Bhp Billiton Limited
BHPQOC	Bhp Billiton Limited
BHPQOE	Bhp Billiton Limited
BHPQOF	Bhp Billiton Limited
BHPQOH	Bhp Billiton Limited
BHPQOQ	Bhp Billiton Limited
BHPQOR	Bhp Billiton Limited
BIC	Biron Capital Ltd
BIS	
BIT	Biotron Ltd
BITR	Biotron Limited
BKI	Brickworks Investment Company Ltd
BKL	Blackmores Laboratories Ltd
BKM	BKM Management Ltd
BKN	Bradken Ltd
BKNKOE	Bradken Limited
BKNKOH	Bradken Limited
BKP	Baraka Petroleum Ltd
BKW	Brickworks Ltd
BKY	Berkeley Resources Ltd
BLA	Blue Sky Alternative Investments Limited
BLD	Boral Ltd
BLDKOC	Boral Limited.
BLDKOD	Boral Limited.
BLDKOE	Boral Limited.
BLDKOP	Boral Limited.
BLDKOS	Boral Limited.
BLDKOU	Boral Limited.
BLG	Blugass Ltd
BLK	Blackham Resources Ltd
BLR	Black Range Minerals Ltd
BLT	Benitec Ltd
BLX	Beacon Lighting Group Limited
BLY	Boart Longyear Ltd
BLZ	Blaze International Ltd
BMB	Balamara Resources Limited
BMG	Brazilian Metals Group Limited.
BML	Bank of Melbourne merger WBC
BMLOB	Botswana Metals Limited
BMN	Bannerman Resources Ltd
BMY	Brumby Resources Ltd
BMZ	Black Mountain Resources Limited
BMZO	Black Mountain Resources Limited
BND	Bandanna Energy Ltd
BNE	Bone Medical Ltd
BNO	Bionomics Ltd
BNR	Bulletin Resources Limited
BNT	Bounty Industries Ltd
BNV	Brand New Vintage Ltd
BOA	Boadicea Resources Limited
BOC	Bougainville Copper Ltd (PNG)
BOE	Boss Energy Ltd
BOL	Boom Logistics Ltd
BOP	Birch And Prestige Investment Group Limited
BOQ	Bank of Queensland Ltd
BOQKOA	Bank Of Queensland Limited.
BOQKOF	Bank Of Queensland Limited.
BOQKOU	Bank Of Queensland Limited.
BOQKOV	Bank Of Queensland Limited.
BOQKOW	Bank Of Queensland Limited.
BOQPD	Bank Of Queensland Limited.
BPA	Brookfield Prime Property Fund
BPF	Bulletproof Group Limited
BPG	Byte Power Group Ltd
BPH	BioPharmica Ltd
BPL	Broken Hill Prospecting Limited
BPO	BioProspect Ltd
BPS	Bps Technology Limited
BPT	Beach Petroleum Ltd
BPTKOA	Beach Energy Limited
BPTKOC	Beach Energy Limited
BPTKOP	Beach Energy Limited
BPTKOQ	Beach Energy Limited
BRB	Breaker Resources Nl
BRBCA	Breaker Resources Nl
BRBO	Breaker Resources Nl
BRC	Brain Resource Company Ltd (The)
BRD	Black Ridge Mining Ltd
BRG	Breville Group Ltd
BRL	Brl Hardy
BRO	BroadTel Communications Ltd
BRU	Buru Energy Ltd
BRUKOB	Buru Energy Limited
BRUKOC	Buru Energy Limited
BRUKOK	Buru Energy Limited
BRUKOM	Buru Energy Limited
BRUKON	Buru Energy Limited
BSA	Broadcast Services Australia Ltd
BSE	BSE
BSL	BlueScope Steel Ltd
BSLKOF	Bluescope Steel Limited
BSLKOG	Bluescope Steel Limited
BSLKOH	Bluescope Steel Limited
BSLKOQ	Bluescope Steel Limited
BSLKOR	Bluescope Steel Limited
BSLKOT	Bluescope Steel Limited
BSM	Bass Metals Ltd
BSN	Bisan Ltd
BSP	Black Star Petroleum Limited
BSPO	Black Star Petroleum Limited
BSR	Bassari Resources Ltd
BST	Barrack St Investments Limited
BSTO	Barrack St Investments Limited
BTC	BioTech Capital Ltd
BTN	Brighton Mining Group Limited
BTR	Blackthorn Resources Ltd
BTT	BT Investment Management Ltd
BUE	Bluestone Global Limited
BUG	Buderim Ginger Ltd
BUL	Blue Energy Ltd
